name,latitude,longitude,category,published_gen_headroom_mw,summer_midday_p50_mw,winter_evening_p50_mw,demand_headroom_ratio
Fen Farm,52.813507,-0.13413,Normal,15.0,6.7,7.2,0.4
Sheepbridge 11/6 6Kv S/Stn,52.217877,-0.95765,Normal,15.5,10.6,10.8,0.7
Moorgreen,52.106604,-0.805733,Normal,15.5,8.9,11.6,0.6
Hucknall,52.034471,-0.677196,Normal,11.9,10.1,17.1,0.8
Bilborough,53.270166,-1.44237,Normal,19.9,6.6,8.9,0.3
Cinderhill,53.023149,-1.295415,Normal,18.6,8.1,13.6,0.4
North Wilford,53.041253,-1.198695,Normal,31.0,16.9,14.1,0.5
Ratcliffe On Soar,52.961875,-1.213368,Normal,8.6,2.0,3.3,0.2
Wollaton Road,52.988092,-1.201824,Normal,11.7,10.2,17.2,0.9
Clifton,52.934926,-1.163523,Normal,28.6,10.2,16.4,0.4
Castle Road,52.861348,-1.261439,Normal,20.7,10.8,13.1,0.5
